Value,PMF(Recall),PMF (Precision),NMF(Recall),NMF (Precision)
1,0.8771331058,0.07363417685,0.82195676906,0.07060389307
2,0.87485779295,0.14530045179,0.81513083049,0.13713835024
3,0.86594615093,0.21318771281,0.80640879788,0.19931080013
4,0.85741372772,0.27625029079,0.79981987107,0.25852405087
5,0.84586651498,0.33302799457,0.78932499052,0.31228254573
6,0.83215775502,0.38059245112,0.78153204399,0.36147435265
7,0.82160734601,0.42518051365,0.77293190314,0.40540129796
8,0.81206931578,0.46359558633,0.76222574354,0.44164846514
9,0.80264414829,0.49832733284,0.75612664102,0.47735902663
10,0.79343545154,0.52838847088,0.74906685086,0.50839739215
